,text,timestamp,source,symbols,company_names,url,verified,cleaned_tweets,sentiment,date,perc_change,NextDay_perc_change,sector
13,Alcoa cuts adjusted EBITDA forecast citing tariffs shares slide https://t.co/mdMJXjnYIs https://t.co/5O8fvwlHpY,Wed Jul 18 23:24:09 +0000 2018,Reuters,HPQ,HP,https://reut.rs/2NZoM1r,TRUE,alcoa cut adjust ebitda forecast cite tariff share slide,0,7/18/2018,0.296608872,0.897432,Technology
14,Customers urge boycott of MGM Resorts after the casino files lawsuits against mass shooting victims… https://t.co/dAhk87dPmA,Wed Jul 18 23:26:33 +0000 2018,business,MGM,MGM Resorts,https://twitter.com/i/web/status/1019725139905216512,TRUE,custom urg boycott mgm resort casino file lawsuit mass shoot victim,-1,7/18/2018,0.735998535,0.032436682,Consumer Cyclical
15,The gap tightens in the race to a trillion dollar valuation as Amazon hits $900 billion https://t.co/zjzm25Aglq via… https://t.co/difuFt6sGp,Wed Jul 18 23:30:00 +0000 2018,Reuters,AMZN-GPS,Amazon*The Gap,https://reut.rs/2L7awGb,TRUE,gap tighten race trillion dollar valuat amazon hit billion via,0,7/18/2018,,,
16,President Trump endorses Brian Kemp over Casey Cagle in Georgia governor’s race https://t.co/VhgN5rNRAW,Wed Jul 18 23:32:06 +0000 2018,nytimes,ENDP,Endo,https://nyti.ms/2NsnHy3,TRUE,presid trump endors brian kemp casey cagl georgia governor race,0,7/18/2018,-2.001822308,-0.718132148,Healthcare
17,White House struggles to contain fallout from Trump-Putin summit https://t.co/NtzACHJibs https://t.co/fLshAUDRzs,Wed Jul 18 23:45:49 +0000 2018,Reuters,UDR,UDR,https://reut.rs/2NrEv8t,TRUE,white hous struggl contain fallout trump putin summit,0,7/18/2018,-0.135362896,-1.654014622,Real Estate
18,Lakers guard Hart named summer league MVP and more U.S. sports headlines https://t.co/RVryAQdPqd https://t.co/r5x71iFFSL,Thu Jul 19 00:00:00 +0000 2018,Reuters,ticker, name,https://reut.rs/2L09coy,TRUE,laker guard hart name summer leagu mvp u sport headlin,0,7/19/2018,,,
19,Only two northern white rhinos still exist making it the world's most endangered subspecies of mammal https://t.co/WeJufervx6,Thu Jul 19 00:01:08 +0000 2018,TheEconomist,NTRS,Northern,https://econ.st/2L6bjHz,TRUE,two northern white rhino still exist make world endang subspeci mammal,0,7/19/2018,2.023850612,0.06493478,Financial Services
20,"Trump tells CBS he's ""always wanted"" to be interviewed by Special Counsel Mueller but deflected questions on whethe… https://t.co/at43BIGpDh",Thu Jul 19 00:04:22 +0000 2018,business,CBS,CBS,https://twitter.com/i/web/status/1019734658127400961,TRUE,trump tell cb alway want interview special counsel mueller deflect question wheth,1,7/19/2018,,,
21,Templeton and BlackRock say now's the time to buy emerging markets https://t.co/h4z90nxqwH https://t.co/6FkVrZlu3j,Thu Jul 19 00:16:34 +0000 2018,business,BLK,BlackRock,https://bloom.bg/2NmXZLe,TRUE,templeton blackrock say time buy emerg market,0,7/19/2018,0.571101016,-0.235245746,Financial Services
22,Charts say #RealMoneySOD $GOOGL could rise 17% or more from here: @BruceKamich  https://t.co/cZbRY4daHN,Thu Jul 19 00:23:00 +0000 2018,jimcramer,GOOGL,Alphabet,http://bit.ly/2Nof8UW,TRUE,chart say realmoneysod googl could rise,0,7/19/2018,0.625703284,0.113403936,Communication Services
23,EBay revenue misses as weak U.S. sporting season hits StubHub https://t.co/3RdnkMVUn8 https://t.co/N6iXpxEZjG,Thu Jul 19 00:30:43 +0000 2018,Reuters,EBAY,eBay,https://reut.rs/2NrITEt,TRUE,ebay revenu miss weak u sport season hit stubhub,-1,7/19/2018,3.013925544,0.639155775,Consumer Cyclical
24,New York City will force Airbnb to disclose information on its hosts https://t.co/jdq88zBMGR https://t.co/9SPvNk6cVU,Thu Jul 19 00:32:31 +0000 2018,business,JD,JD,https://bloom.bg/2uxotmx,TRUE,new york citi forc airbnb disclos inform host,0,7/19/2018,0.833550874,3.636364201,Consumer Cyclical
25,"RT @josheidelson: Exclusive: Elon Musk called Sierra Club's executive director Saturday and ""asked for some help via Twitter"" the green gr…",Thu Jul 19 00:37:46 +0000 2018,TheStalwart,TWTR,Twitter,,FALSE,rt exclus elon musk call sierra club execut director saturday ask help via twitter green gr,1,7/19/2018,-0.392877668,0.183912255,Communication Services
26,New time: Janet Yellen and I in conversation at Brookings on Feb. 27 at 2 PM EST. Join us online or on Facebook Liv… https://t.co/hDg7X5Rc5P,Fri Feb 23 18:50:19 +0000 2018,benbernanke,FB,Facebook,https://twitter.com/i/web/status/967109381098758144,TRUE,new time janet yellen convers brook feb pm est join us onlin facebook liv,1,2/23/2018,-1.884379936,,Communication Services
27,The robot homie R2-D2 told me to buy sell and hold Fidelity National Information Services $FIS #BullMarket,Sun Jul 08 22:13:24 +0000 2018,StockTipRobot,FIS,Fidelity National Information Services,,FALSE,robot homi r told buy sell hold fidel nation inform servic fi bullmarket,0,7/8/2018,,0.404935051,Technology
28,Arthur J Gallagher &amp; Co $AJG vs. Marsh &amp; McLennan Companies $MMC Critical Contrast https://t.co/aETTR2nZEq,Sun Jul 08 22:23:07 +0000 2018,ConsumerFeed,AJG,Arthur J. Gallagher & Co.,http://zpr.io/6Tnx3,FALSE,arthur j gallagh amp co ajg vs marsh amp mclennan compani mmc critic contrast,-1,7/8/2018,,-1.883118275,Financial Services
29,Arthur J Gallagher &amp; Co $AJG vs. Marsh &amp; McLennan Companies $MMC Critical Contrast https://t.co/CDjCvAKg5D,Sun Jul 08 22:26:52 +0000 2018,MareaInformativ,AJG,Arthur J. Gallagher & Co.,http://www.mareainformativa.com/?p=407083,FALSE,arthur j gallagh amp co ajg vs marsh amp mclennan compani mmc critic contrast,-1,7/8/2018,,-1.883118275,Financial Services
30,$INFO $C Asia Stocks Signal Gains; Dollar Weakness Watched: Markets Wrap via https://t.co/jURZDymPXI,Sun Jul 08 22:34:01 +0000 2018,finzine,INFO,IHS Markit Ltd.,http://www.hvper.com/?ref=ftw,FALSE,info c asia stock signal gain dollar weak watch market wrap via,0,7/8/2018,,0.549556401,Industrials
31,RT @dailypoliticaln: Fluor Co. $NEW $FLR Stock Rating Upgraded by Zacks Investment Research https://t.co/bpNgSoZjMH,Sun Jul 08 22:43:40 +0000 2018,Riskographer2,FLR,Fluor Corporation,http://www.dailypolitical.com/?p=2188895,FALSE,rt fluor co new flr stock rate upgrad zack invest research,0,7/8/2018,,-1.181018141,Industrials
32,Avery Dennison Corporation $AVY EPS Estimated At $1.56 - https://t.co/YgOBsCXV2k,Sun Jul 08 22:46:22 +0000 2018,whatsonthorold2,AVY,Avery Dennison Corporation,https://www.whatsonthorold.com/2018/07/08/avery-dennison-corporation-avy-eps-estimated-at-1-56/,FALSE,averi dennison corpor avi ep estim,0,7/8/2018,,-0.807881473,Industrials
33,What's shaking guys? Inflation &amp; bank earnings are some of your market shakers this week: https://t.co/zUj03RrzaF… https://t.co/cEWyQtbwVs,Sun Jul 08 22:47:03 +0000 2018,oliviabvoz,ETR,Entergy Corporation,https://youtu.be/JkO2zJAN-5Y,FALSE,shake guy inflat amp bank earn market shaker week,0,7/8/2018,,3.036537654,Utilities
34,EPS for Avery Dennison Corporation $AVY Expected At $1.56 https://t.co/JgH1US4tJT,Sun Jul 08 22:47:11 +0000 2018,reurope_stock,AVY,Avery Dennison Corporation,https://reurope.com/2018/07/08/eps-for-avery-dennison-corporation-avy-expected-at-1-56/,FALSE,ep averi dennison corpor avi expect,0,7/8/2018,,-0.807881473,Industrials
35,Avery Dennison Corporation $AVY EPS Estimated At $1.56 - https://t.co/TGdsFYlo7V,Sun Jul 08 22:47:26 +0000 2018,bibeypost_stock,AVY,Avery Dennison Corporation,https://www.bibeypost.com/avery-dennison-corporation-avy-eps-estimated-at-1-56/,FALSE,averi dennison corpor avi ep estim,0,7/8/2018,,-0.807881473,Industrials
36,RT @oliviabvoz: What's shaking guys? Inflation &amp; bank earnings are some of your market shakers this week: https://t.co/zUj03RrzaF $PEP $FST…,Sun Jul 08 22:59:50 +0000 2018,LaurieInMadison,ETR,Entergy Corporation,https://youtu.be/JkO2zJAN-5Y,FALSE,rt shake guy inflat amp bank earn market shaker week pep fst,0,7/8/2018,,3.036537654,Utilities
37,Do you know that #Book Value for $XYL is $13.92 https://t.co/P8NnY8vkF6,Sun Jul 08 23:06:03 +0000 2018,1MinuteStock,XYL,Xylem Inc.,https://unicornbay.com/t/XYL.US?utm_medium=tweet&utm_campaign=bookvalue&utm_source=twitter,FALSE,know book valu xyl,0,7/8/2018,,-1.280143802,Industrials
38,Do you know that #WallStreet price for $IRM is $38.83 https://t.co/K8TFsUFESC,Sun Jul 08 23:15:02 +0000 2018,1MinuteStock,IRM,Iron Mountain Incorporated,https://unicornbay.com/t/IRM.US?utm_medium=tweet&utm_campaign=wallstreet&utm_source=twitter,FALSE,know wallstreet price irm,0,7/8/2018,,-1.388888889,Real Estate
39,Wondering about risks of $IRM? The 21-day volatility is 4.12% https://t.co/6KpJaP4fac,Sun Jul 08 23:27:02 +0000 2018,1MinuteStock,IRM,Iron Mountain Incorporated,https://unicornbay.com/t/IRM.US?utm_medium=tweet&utm_campaign=volatility&utm_source=twitter,FALSE,wonder risk irm day volatil,-1,7/8/2018,,-1.388888889,Real Estate
40,$ORLY Max Pain=280.00. Maturity=07/20/2018. #maxpain #options https://t.co/E1QxoAmxz0 https://t.co/SIIeXlCE1t,Sun Jul 08 23:27:08 +0000 2018,optioncharts,ORLY,O'Reilly Automotive,http://maximum-pain.com/options/max-pain/ORLY,FALSE,orli max pain matur maxpain option,-1,7/8/2018,,-1.808336204,Consumer Cyclical
41,$AVB Max Pain=170.00. Maturity=07/20/2018. #maxpain #options https://t.co/YSw8y4pvl1 https://t.co/55GYLNJKC1,Sun Jul 08 23:38:12 +0000 2018,optioncharts,AVB,AvalonBay Communities,http://maximum-pain.com/options/max-pain/AVB,FALSE,avb max pain matur maxpain option,-1,7/8/2018,,0.744851623,Real Estate
42,$CUBE $EXR $HOG $KO $LSI $PSA $IRM https://t.co/n2jGUHZqx1,Sun Jul 08 23:39:03 +0000 2018,Jake_Hunter,IRM,Iron Mountain Incorporated,https://seekingalpha.com/article/4185504-blue-chip-yielding-6_7-percent-opportunistic-buy-30-percent-minimum-upside?source=tweet,FALSE,cube exr hog ko lsi psa irm,0,7/8/2018,,-1.388888889,Real Estate
43,MTTS WEEKLY WATCHLIST FOR JULY 9TH 2018 $CXO $HP $RSPP https://t.co/poc5zDyb4j,Sun Jul 08 23:46:49 +0000 2018,MttsTrading,HP,Helmerich & Payne,https://mttstrading.com/mtts-weekly-watchlist-for-july-9th-2018-cxo-hp-rspp/,FALSE,mtt weekli watchlist juli th cxo hp rspp,0,7/8/2018,,-1.442898892,Energy
44,Analysts Expect Mosaic Co $MOS Will Announce Earnings of $0.38 Per Share https://t.co/wUz5n5cRYO,Sun Jul 08 23:51:29 +0000 2018,TranscriptDaily,MOS,The Mosaic Company,http://zpr.io/6T6mK,FALSE,analyst expect mosaic co mo announc earn per share,1,7/8/2018,,-0.24743617,Basic Materials
45,$2.29 Billion in Sales Expected for Mosaic Co $MOS This Quarter https://t.co/TvQE3lexlH,Sun Jul 08 23:54:10 +0000 2018,WeekHerald,MOS,The Mosaic Company,http://weekherald.com/?p=2977936,FALSE,billion sale expect mosaic co mo quarter,0,7/8/2018,,-0.24743617,Basic Materials
46,In 2 days I doubled my account with the option trades from  https://t.co/fuqGGnsGDs #winners #nojoke  $XRX $MRTX… https://t.co/zGFIrUGsVq,Sun Jul 08 23:58:17 +0000 2018,HarryPickens2,HSY,The Hershey Company,http://Optionsbypros.com,FALSE,day doubl account option trade winner nojok xrx mrtx,1,7/8/2018,,1.385971991,Consumer Defensive
47,$NI high OI range is 26.00 to 26.00 for option expiration 07/20/2018 #maxpain #options https://t.co/SofR3EIASh https://t.co/1BiDccf6kl,Mon Jul 09 00:15:27 +0000 2018,optioncharts,NI,NiSource Inc.,http://maximum-pain.com/options/open-interest/NI,FALSE,ni high oi rang option expir maxpain option,0,7/9/2018,3.050594198,-1.312741921,Utilities
48,RT @TradeSatoshi: $AMG AMGCHAIN  will be delisted from Tradesatoshi the 31/07/18 devs reset the blockchain and did not inform us causing lo…,Mon Jul 09 00:17:21 +0000 2018,BogdanoffJr,AMG,Affiliated Managers Group,,FALSE,rt amg amgchain delist tradesatoshi dev reset blockchain inform us caus lo,0,7/9/2018,-1.166526007,-0.900235179,Financial Services
49,Payments halted under Obamacare program https://t.co/yuveHjiqti $UNH $AET $ANTM $CI $HUM $WCG $CNC $MOH… https://t.co/brxhRXNKGM,Mon Jul 09 00:17:35 +0000 2018,Gary49148971,HCA,HCA Healthcare,https://seekingalpha.com/news/3368467?source=ansh,FALSE,payment halt obamacar program unh aet antm ci hum wcg cnc moh,0,7/9/2018,-0.484746831,-0.08514234,Healthcare
50,RT @forever_t_2000: Theres goes $SODE breaking things again.  At least they're getting paid to fix it.  $ACM $AEGN $AGX $BFLBF $BLD $DY $EM…,Mon Jul 09 00:21:28 +0000 2018,stockpicklist,JEC,Jacobs Engineering Group Inc.,,FALSE,rt there goe sode break thing least get paid fix acm aegn agx bflbf bld dy em,0,7/9/2018,,,
51,$JEC Max Pain=65.00. Maturity=07/20/2018. #maxpain #options https://t.co/UsAbQ5qAuk https://t.co/xO6Ew72bWA,Mon Jul 09 00:31:10 +0000 2018,optioncharts,JEC,Jacobs Engineering Group Inc.,http://maximum-pain.com/options/max-pain/JEC,FALSE,jec max pain matur maxpain option,-1,7/9/2018,,,
52,RT @forever_t_2000: Theres goes $SODE breaking things again.  At least they're getting paid to fix it.  $ACM $AEGN $AGX $BFLBF $BLD $DY $EM…,Mon Jul 09 00:35:35 +0000 2018,the_stockwiz,JEC,Jacobs Engineering Group Inc.,,FALSE,rt there goe sode break thing least get paid fix acm aegn agx bflbf bld dy em,0,7/9/2018,,,
53,Short sale volume (not short interest) for $IJR on 2018-07-06 is 78%. https://t.co/sJqeEvuEQm $SENS 80% $DVN 67% $XLY 54% $ODP 46%,Mon Jul 09 00:36:02 +0000 2018,shortvolumes,ODP,Office Depot,http://shortvolumes.com/?t=IJR,FALSE,short sale volum short interest ijr sen dvn xli odp,1,7/9/2018,-3.676470485,1.418445089,Consumer Cyclical
54,$COO high OI range is 220.00 to 250.00 for option expiration 07/20/2018 #maxpain #options https://t.co/MWW1X55Xnb https://t.co/9fTdfqcclB,Mon Jul 09 00:36:14 +0000 2018,optioncharts,COO,The Cooper Companies,http://maximum-pain.com/options/open-interest/COO,FALSE,coo high oi rang option expir maxpain option,0,7/9/2018,-0.835562381,0.101816407,Healthcare
55,RT @forever_t_2000: Theres goes $SODE breaking things again.  At least they're getting paid to fix it.  $ACM $AEGN $AGX $BFLBF $BLD $DY $EM…,Mon Jul 09 00:39:22 +0000 2018,TerryMonette1,JEC,Jacobs Engineering Group Inc.,,FALSE,rt there goe sode break thing least get paid fix acm aegn agx bflbf bld dy em,0,7/9/2018,,,
56,$SNPS had hired more while rival $CDNS had reduced headcount https://t.co/ErNHkTPuHR,Mon Jul 09 00:50:54 +0000 2018,naashonomics,SNPS,Synopsys,,FALSE,snp hire rival cdn reduc headcount,0,7/9/2018,0.033889268,-0.191396273,Technology
57,$INFO $PEP Five Things You Need to Know to Start Your Day via https://t.co/jURZDymPXI,Mon Jul 09 00:54:01 +0000 2018,finzine,INFO,IHS Markit Ltd.,http://www.hvper.com/?ref=ftw,FALSE,info pep five thing need know start day via,0,7/9/2018,0.549556401,0.095236642,Industrials
58,new #jobs #opening growth $SNPS v/s $CDNS https://t.co/lNW3lLs96a,Mon Jul 09 00:55:37 +0000 2018,naashonomics,SNPS,Synopsys,,FALSE,new job open growth snp v cdn,1,7/9/2018,0.033889268,-0.191396273,Technology
59,RT @WallStJesus: Repeat buying in biotech $ARRY https://t.co/gfThduDYw6,Mon Jul 09 01:00:58 +0000 2018,BeefEnt,ARRY,Array BioPharma Inc.,,FALSE,rt repeat buy biotech arri,0,7/9/2018,,,Technology
60,$REG Max Pain is 60.00 for maturity 07/20/2018. #maxpain #options https://t.co/5wnNLwjMl5 https://t.co/coNB8dr1lx,Mon Jul 09 01:02:17 +0000 2018,optioncharts,REG,Regency Centers Corporation,http://maximum-pain.com/options/max-pain/REG,FALSE,reg max pain matur maxpain option,-1,7/9/2018,0.785133279,0.0324104,Real Estate
61,RT @oliviabvoz: What's shaking guys? Inflation &amp; bank earnings are some of your market shakers this week: https://t.co/zUj03RrzaF $PEP $FST…,Mon Jul 09 01:06:56 +0000 2018,doggydaddy70,ETR,Entergy Corporation,https://youtu.be/JkO2zJAN-5Y,FALSE,rt shake guy inflat amp bank earn market shaker week pep fst,0,7/9/2018,3.036537654,-0.973173755,Utilities
62,RT @OptionsHawk: $AJG CEO bought $600K in stock may be one to follow always been a preferred play of mine in this group sitting right on…,Mon Jul 09 01:09:15 +0000 2018,StayThirsty_Jay,AJG,Arthur J. Gallagher & Co.,,FALSE,rt ajg ceo bought k stock may one follow alway prefer play mine group sit right,1,7/9/2018,-1.883118275,-0.132456176,Financial Services
63,RT @tradewithjoe: JULY 19 and 20 calls active today - $ARRY https://t.co/6P8ZLv6CVv,Mon Jul 09 01:25:20 +0000 2018,Jr41322029,ARRY,Array BioPharma Inc.,,FALSE,rt juli call activ today arri,0,7/9/2018,,,Technology
64,Robert Half International Inc. $RHI Analysts See $0.85 EPS - https://t.co/YmS25tsO8A,Mon Jul 09 01:30:46 +0000 2018,whatsonthorold2,RHI,Robert Half International Inc.,https://www.whatsonthorold.com/2018/07/09/robert-half-international-inc-rhi-analysts-see-0-85-eps-2/,FALSE,robert half intern inc rhi analyst see ep,0,7/9/2018,-1.404409979,1.338491306,Industrials
65,$0.85 EPS Expected for Robert Half International Inc. $RHI https://t.co/uHEQbYjnX1,Mon Jul 09 01:31:50 +0000 2018,reurope_stock,RHI,Robert Half International Inc.,https://reurope.com/2018/07/09/0-85-eps-expected-for-robert-half-international-inc-rhi/,FALSE,ep expect robert half intern inc rhi,0,7/9/2018,-1.404409979,1.338491306,Industrials
66,EPS for Robert Half International Inc. $RHI Expected At $0.85 - https://t.co/9zx0sjUaNr,Mon Jul 09 01:32:11 +0000 2018,bibeypost_stock,RHI,Robert Half International Inc.,https://www.bibeypost.com/eps-for-robert-half-international-inc-rhi-expected-at-0-85/,FALSE,ep robert half intern inc rhi expect,0,7/9/2018,-1.404409979,1.338491306,Industrials
67,RT @MttsTrading: MTTS WEEKLY WATCHLIST FOR JULY 9TH 2018 $CXO $HP $RSPP https://t.co/poc5zDyb4j,Mon Jul 09 01:38:58 +0000 2018,HooverStreet51,HP,Helmerich & Payne,https://mttstrading.com/mtts-weekly-watchlist-for-july-9th-2018-cxo-hp-rspp/,FALSE,rt mtt weekli watchlist juli th cxo hp rspp,0,7/9/2018,-1.442898892,0.562126127,Energy
68,RT @WallStJesus: Repeat buying in biotech $ARRY https://t.co/gfThduDYw6,Mon Jul 09 01:44:09 +0000 2018,YuZhu4,ARRY,Array BioPharma Inc.,,FALSE,rt repeat buy biotech arri,0,7/9/2018,,,Technology
69,INSIDE WK SCAN $AKAM $AMAT $AXP $BA $BLUE $BOX $BZUN $C $CAT $CMCSA $CSCO $DBX $DIS $DE $DOCU $DLTR $EBAY $FDX… https://t.co/c1lAquqUfU,Mon Jul 09 01:46:42 +0000 2018,dgarciacharts,DLTR,Dollar Tree,https://twitter.com/i/web/status/1016136529746382849,FALSE,insid wk scan akam amat axp ba blue box bzun c cat cmcsa csco dbx di de docu dltr ebay fdx,0,7/9/2018,-0.023622732,-1.178828219,Consumer Defensive
70,$JD $ARRY $PYPL $UIS 5min -- Daily setups for Monday. https://t.co/QrlBGCSruN,Mon Jul 09 01:49:31 +0000 2018,zusch_,ARRY,Array BioPharma Inc.,,FALSE,jd arri pypl ui min daili setup monday,0,7/9/2018,,,Technology
71,RT @dgarciacharts: INSIDE WK SCAN $AKAM $AMAT $AXP $BA $BLUE $BOX $BZUN $C $CAT $CMCSA $CSCO $DBX $DIS $DE $DOCU $DLTR $EBAY $FDX $FEYE $FS…,Mon Jul 09 01:50:43 +0000 2018,Abkon187,DLTR,Dollar Tree,,FALSE,rt insid wk scan akam amat axp ba blue box bzun c cat cmcsa csco dbx di de docu dltr ebay fdx fey fs,0,7/9/2018,-0.023622732,-1.178828219,Consumer Defensive
72,RT @WallStJesus: Repeat buying in biotech $ARRY https://t.co/gfThduDYw6,Mon Jul 09 01:54:04 +0000 2018,stocksnovice,ARRY,Array BioPharma Inc.,,FALSE,rt repeat buy biotech arri,0,7/9/2018,,,Technology
73,Short sale vol (not short interest) for $CYH on 2018-07-06 is 72%. https://t.co/Ev0VoqfMLV $THC 65% $SEM 48% $SSY 32% $HCA 62%,Mon Jul 09 02:18:01 +0000 2018,shortvolumes,HCA,HCA Healthcare,http://shortvolumes.com/?t=CYH,FALSE,short sale vol short interest cyh thc sem ssi hca,1,7/9/2018,-0.484746831,-0.08514234,Healthcare
74,RT @forever_t_2000: Theres goes $SODE breaking things again.  At least they're getting paid to fix it.  $ACM $AEGN $AGX $BFLBF $BLD $DY $EM…,Mon Jul 09 02:21:48 +0000 2018,vantillian,JEC,Jacobs Engineering Group Inc.,,FALSE,rt there goe sode break thing least get paid fix acm aegn agx bflbf bld dy em,0,7/9/2018,,,
75,Finisar Co. $FNSR Expected to Announce Quarterly Sales of $315.26 Million https://t.co/Ns3mDf4jVa,Mon Jul 09 02:28:20 +0000 2018,OlympiaReport,FNSR,Finisar Corporation,http://theolympiareport.com/?p=912207,FALSE,finisar co fnsr expect announc quarterli sale million,0,7/9/2018,,,
76,Finisar Co. $FNSR Expected to Post Quarterly Sales of $315.26 Million https://t.co/RfBRipR0zq,Mon Jul 09 02:28:45 +0000 2018,WeekHerald,FNSR,Finisar Corporation,http://weekherald.com/?p=2978035,FALSE,finisar co fnsr expect post quarterli sale million,0,7/9/2018,,,
77,Possible plays:  $SGMO $TXMD $ABUS $VKTX $ECYT $VSTM $SGYP $TRVN $NVAX $OPK $OCUL $GERN $VRX $TSRO $AKAO  Let’s see what I pick.  Follow! 📈,Mon Jul 09 02:38:56 +0000 2018,AceAnalyst,NVAX,Novavax,,FALSE,possibl play sgmo txmd abu vktx ecyt vstm sgyp trvn nvax opk ocul gern vrx tsro akao let see pick follow,1,7/9/2018,2.81689876,0,Healthcare
78,RT @tradewithjoe: $SPY OPTIONS FLOW ALERTS -  https://t.co/NZc3w6bzNI  $EEM $ARRY $CARS $JD $BLL $V $CAZR $BX $VIPS $OPK $BAC $WFC $XOP $JW…,Mon Jul 09 02:39:23 +0000 2018,ThomasPace10,ARRY,Array BioPharma Inc.,http://www.tradewithjoe.com/options-flow-alerts-for-friday-7-6-18/,FALSE,rt spi option flow alert eem arri car jd bll v cazr bx vip opk bac wfc xop jw,1,7/9/2018,,,Technology
79,RT @dgarciacharts: INSIDE WK SCAN $AKAM $AMAT $AXP $BA $BLUE $BOX $BZUN $C $CAT $CMCSA $CSCO $DBX $DIS $DE $DOCU $DLTR $EBAY $FDX $FEYE $FS…,Mon Jul 09 02:43:41 +0000 2018,AllidoiswinDC,DLTR,Dollar Tree,,FALSE,rt insid wk scan akam amat axp ba blue box bzun c cat cmcsa csco dbx di de docu dltr ebay fdx fey fs,0,7/9/2018,-0.023622732,-1.178828219,Consumer Defensive
