,tweet,calculated_sentiment,index,date,userID,airline,text,sentiment
31,jake warby flight sent,-1,68,11/14/2020 21:44,1.33e+18,American,"@tytastic_panda @AmericanAir @AMANI2020 Jake, from Warby was on the flight and sent me this. https://t.co/5B0SLWhHan",0
32,initially tried remove refused made,-1,70,11/14/2020 21:43,1.33e+18,American,"@tytastic_panda @AmericanAir @AMANI2020 They initially tried to remove @AMANI2020 but when she refused, they made e… https://t.co/7MZNhzWWTE",0
33,youve got explaining stopracism stopracialprofiling,-1,71,11/14/2020 21:43,1.33e+18,American,@AmericanAir You’ve got some explaining to do. #StopRacism #StopRacialProfiling https://t.co/SiJM8vly3h,0
34,called safety precaution something something bad poten,-1,78,11/14/2020 21:41,1.33e+18,American,@dbbidwnr @AmericanAir @AMANI2020 Its called a safety PREcaution. As in something you do BEFORE something bad poten… https://t.co/Z3Vt4CC3hm,0
35,deboarded entire plane ahole preboarding cut line got called,-1,81,11/14/2020 21:41,1.33e+18,American,"@_SJPeace_ So @AmericanAir de-boarded the entire plane because some a-hole in preboarding cut line, got called on i… https://t.co/vqOPHqVCLb",0
36,appreciate cooperation need take corrective steps right situation prevent another repeat,-1,82,11/14/2020 21:40,1.33e+18,American,... We appreciate @AmericanAir’s cooperation but need them to take corrective steps to right the situation and prevent another repeat.,0
37,notified office launched thorough investigation incident lead,-1,83,11/14/2020 21:40,1.33e+18,American,.@AmericanAir has notified our office that they have launched a thorough investigation into the incident that lead… https://t.co/q1A5AIxCvh,0
38,threats explosives racism dont know,0,86,11/14/2020 21:36,1.33e+18,American,@tytastic_panda @AmericanAir @AMANI2020 There were not threats of explosives. This was racism. I don’t know what th… https://t.co/Ll7ENZKP1w,0
39,want suppress woman make fun religion,1,88,11/14/2020 21:35,1.33e+18,American,@jumpropehijabi @AmericanAir @AMANI2020 Oh so you want me to suppress myself as a woman and make fun of a religion… https://t.co/fYMlWNNDGu,0
40,yup white guy left explosive plane,-1,89,11/14/2020 21:35,1.33e+18,American,@dbbidwnr @AmericanAir @AMANI2020 Yup I did that. And if the white guy had left an explosive on the plane and he ha… https://t.co/O1XIrgTXCa,0
41,right kill americans instead airlines,-1,91,11/14/2020 21:34,1.33e+18,American,@davis38332 @TravelDesigned @AmericanAir You are right. Kill Americans instead of airlines,0
42,kick flight,-1,92,11/14/2020 21:33,1.33e+18,American,This is bs. @AmericanAir do not kick her off her flight. https://t.co/WNT7ICawWs,0
43,add flights,-1,96,11/14/2020 21:32,1.33e+18,American,@virginianpilot @AmericanAir add more flights from @NorfolkAirport 😎,0
44,think read original tweet peep,0,97,11/14/2020 21:31,1.33e+18,American,@tytastic_panda @AmericanAir @AMANI2020 I think you should read the original tweet and peep this. https://t.co/VBtweWrILp,0
45,bad wont able earn status future mom pays good fly basic econ suppos,1,98,11/14/2020 21:31,1.33e+18,American,Too bad I won’t be able to earn status in the future. Mom pays good $$ to fly us both basic econ - which was suppos… https://t.co/bJLLQZRYS1,0
46,dont care much money hes got class hes sat hes getting kicked aircraft,-1,100,11/14/2020 21:30,1.33e+18,American,"@mattangell79 @AmericanAir I don’t care how much money he’s got or what class he’s sat at, he’s getting kicked off the aircraft.",0
47,deboarding plane safety proceedure case person removed,-1,103,11/14/2020 21:29,1.33e+18,American,@dbbidwnr @AmericanAir @AMANI2020 Deboarding the plane is a safety proceedure in case the person being removed from… https://t.co/JkPwKAGHWG,0
48,shambles,-1,105,11/14/2020 21:29,1.33e+18,American,@ViscountLe8ton @AmericanAir What a shambles,0
49,disgusting never wan na fly shouldnt either,-1,107,11/14/2020 21:28,1.33e+18,American,DISGUSTING. i never wanna fly @AmericanAir and u shouldn’t either. https://t.co/knaDbRuV0p,0
50,anyway expedite transaction trying book flight today,-1,109,11/14/2020 21:28,1.33e+18,American,@AmericanAir anyway you can expedite a transaction for me. Trying to book a flight today.,0
51,media many people believing idiocy masks work baloney welcome bacterial pneumonia,1,111,11/14/2020 21:26,1.33e+18,American,"@HottNwell @AmericanAir The media has so many people believing this idiocy that masks work. Baloney.

Welcome to bacterial pneumonia.",0
52,mom three little boys horrified trend people treating dogs better babies traveling,-1,113,11/14/2020 21:26,1.33e+18,American,@danrhon @AmericanAir As a mom of three little boys I’m horrified at the trend of people treating dogs better than babies while traveling.,0
53,contrast tone commenters chipper exclamationladen desperately pos,0,115,11/14/2020 21:25,1.33e+18,American,"@AmericanAir The contrast in tone between commenters and @AmericanAir’s chipper, exclamation-laden, desperately pos… https://t.co/NxmkPPZ5Sj",0
54,right,-1,117,11/14/2020 21:24,1.33e+18,American,@aekindle @laur_calderone @AmericanAir @Delta RIGHT,0
55,drama queen,-1,118,11/14/2020 21:24,1.33e+18,American,@samvelagq @AmericanAir Drama queen,0
56,prove otherwise shouldnt say nothing,-1,125,11/14/2020 21:21,1.33e+18,American,@HelenPoznanski @XXLdwarf @AmericanAir There is no cv-19 if there is prove it otherwise you shouldn't say nothing o… https://t.co/fMR3fIkxl3,0
57,rescue activist recently pulled asshole couldnt wait,-1,126,11/14/2020 21:20,1.33e+18,American,@CAIRNJ to the rescue. Activist @AMANI2020 recently pulled off @AmericanAir because some asshole couldn’t wait a Ne… https://t.co/a34ZcsD55U,0
58,people gather uncontrolled pandemic please stop,-1,127,11/14/2020 21:20,1.33e+18,American,"@AmericanAir People should not gather during an uncontrolled pandemic, please stop",0
59,lift veil deceit see,-1,128,11/14/2020 21:20,1.33e+18,American,@HelenPoznanski @AmericanAir Lift the veil of Deceit so you can see,0
60,never,-1,129,11/14/2020 21:19,1.33e+18,American,@AmericanAir Never again,0
61,glad dont fly,-1,131,11/14/2020 21:19,1.33e+18,American,@_SJPeace_ I’m glad I don’t fly with @AmericanAir,0
62,smell toot long,1,132,11/14/2020 21:19,1.33e+18,American,@AmericanAir Why can you smell your toot for so long then,0
63,worth risk delta jetblue also options route,-1,133,11/14/2020 21:18,1.33e+18,American,@LeeWattWest @AmericanAir Not worth the risk if Delta and JetBlue are also options for you ($ and route),0
64,hes dying assure wake scam,-1,134,11/14/2020 21:18,1.33e+18,American,@HelenPoznanski @XXLdwarf @AmericanAir He's not dying of CV19 I can assure you.... wake up to the scam,0
65,didnt fill middle seat greed,-1,135,11/14/2020 21:18,1.33e+18,American,@AmericanAir Um didn’t you fill the middle seat again out of “greed”,0
66,trash,-1,138,11/14/2020 21:16,1.33e+18,American,@AmericanAir trash https://t.co/oLLqkgnowC,0
67,cdc government agency foreign agent,0,139,11/14/2020 21:16,1.33e+18,American,@kathy_reign @kupplove @HelenPoznanski @AmericanAir The CDC is not a government agency but a foreign agent of the UN,0
68,people like fake mess dont brains think,-1,140,11/14/2020 21:14,1.33e+18,American,@JBDC @AmericanAir People like you are why were are in this fake cv-19 mess..... you don't have the brains to think… https://t.co/cgQaSKlgOT,0
69,surprised ill never fly nothing horrible experiences,-1,141,11/14/2020 21:14,1.33e+18,American,@_SJPeace_ @AmericanAir ... why am I not surprised. I’ll never fly them again. Nothing but Horrible experiences!,0
70,stfu,-1,143,11/14/2020 21:13,1.33e+18,American,@Auldmanthyme @torstrick @BrokermanDaniel @AmericanAir Stfu,0
71,followed anyone another china bot,-1,145,11/14/2020 21:11,1.33e+18,American,@Unrealiztick @HelenPoznanski @kupplove @AmericanAir Not followed by anyone another China bot,0
72,gave info unfortunately guess youre smart enough read,-1,146,11/14/2020 21:10,1.33e+18,American,@HelenPoznanski @Unrealiztick @kupplove @AmericanAir I gave you the info unfortunately I guess you're not smart enough to read it,0
73,,-1,151,11/14/2020 21:05,1.33e+18,American,@Steveth35483499 @CAIRNational @RashidaTlaib @CAIRNJ @AmericanAir @Rowaida_Abdel @AdelyReporter @northjersey… https://t.co/PPnWdxwhTC,0
74,american airlines offer customers mobile app called verifly make travel international destinations eas,-1,153,11/14/2020 21:03,1.33e+18,American,American Airlines will offer customers a mobile app called VeriFLY to make travel to international destinations eas… https://t.co/raqhBhOxuh,0
75,islamaphobia,-1,154,11/14/2020 21:01,1.33e+18,American,@AmericanAir It’s the islamaphobia for me,0
76,one stand,-1,158,11/14/2020 21:00,1.33e+18,American,@yesjaketapia @AmericanAir Why did no one stand up for her,0
77,never flying,-1,160,11/14/2020 20:59,1.33e+18,American,I'm never flying with @AmericanAir https://t.co/kB1lQGVr2B,0
78,shut fuck,-1,161,11/14/2020 20:58,1.33e+18,American,@foxnewsdesk @yesjaketapia @AmericanAir No. Shut the fuck up,0
79,hey appreciate service safety flight could without minute sales pitch credit card,-1,162,11/14/2020 20:58,1.33e+18,American,"Hey @AmericanAir I appreciate the service and safety on the flight, but I could go without the 8 minute sales pitch for the AA credit card.",0
80,salt wound,0,170,11/14/2020 20:53,1.33e+18,American,@literarytally @AmericanAir salt in the wound!,0
81,calling explain singled contacting police ejecting,-1,174,11/14/2020 20:49,1.33e+18,American,"Calling on @AmericanAir to explain why it singled out @AMANI2020 by contacting the police, having her ejecting from… https://t.co/85zsqpZbgw",0
82,nonstop newyork sandiego amp vice versa roundtrip travel janmar dates,0,178,11/14/2020 20:47,1.33e+18,American,Non-stop from #NewYork to #SanDiego (&amp; vice versa) for only $196 roundtrip with @AmericanAir #Travel (Jan-Mar dates… https://t.co/LW3gKq3sPj,0
83,oct american eagle flight erjlr suffered runway excursion landing,-1,179,11/14/2020 20:47,1.33e+18,American,"On Oct. 26, 2020, American Eagle flight AA4194, an @Embraer ERJ-145LR, suffered a runway excursion after landing on… https://t.co/LPfl45ifr0",0
84,american eagle flight erjlr suffered runway excursion landing runw,-1,180,11/14/2020 20:46,1.33e+18,American,"On 10.26.20, American Eagle flight AA4194, an @Embraer ERJ-145LR, suffered a runway excursion after landing on runw… https://t.co/3qpFBKTF0l",0
85,thank,-1,187,11/14/2020 20:42,1.33e+18,American,@Karen_Zeta @AmericanAir Thank you!,0
86,shame hope sues racist pos gets named,0,189,11/14/2020 20:41,1.33e+18,American,"@yesjaketapia @AmericanAir Shame on you, @AmericanAir! I hope she sues and the racist POS gets named.",0
87,release,-1,203,11/14/2020 20:34,1.33e+18,American,release her @AmericanAir https://t.co/9zrGFybRgB,0
88,better email together ask support inevitable secon,-1,205,11/14/2020 20:32,1.33e+18,American,.@AmericanAir better not email us the “we’re all in this together” BS and ask for support when the inevitable secon… https://t.co/UdvQlnYngB,0
89,fuck,-1,207,11/14/2020 20:29,1.33e+18,American,Fuck @AmericanAir https://t.co/rAWeSdToPN,0
90,decimation customers seems right,-1,210,11/14/2020 20:28,1.33e+18,American,@AmericanAir @ilvialo “Decimation” of your customers. Seems about right.,0
91,never flying airline ever boycottamericanairlines boycottamericanairlines,-1,211,11/14/2020 20:28,1.33e+18,American,@AmericanAir Never flying with your airline ever again. #BoycottAmericanAirlines #BoycottAmericanAirlines https://t.co/6TCcsxgNYZ,0
92,ads black male white female,1,212,11/14/2020 20:27,1.33e+18,American,"@AmericanAir 99% of ads are black male, white female",0
93,done happened two years ago,0,217,11/14/2020 20:24,1.33e+18,American,.@AmericanAir has done this before. Happened to @TamikaDMallory two years ago. https://t.co/HnNVUvoGkt,0
94,worst flight jam packed social distance protocol even disinfectant wipes,-1,218,11/14/2020 20:22,1.33e+18,American,.@AmericanAir is the worst!!!!!!!!! Flight jam packed!!!!! No social distance protocol or even disinfectant wipes l… https://t.co/R9SkSgJwmG,0
95,heres video,-1,224,11/14/2020 20:17,1.33e+18,American,@davidtmccarty @AmericanAir @AMANI2020 Here's the video:  https://t.co/KNX3te7PEe,0
96,worst airline,-1,225,11/14/2020 20:16,1.33e+18,American,They are the @americanair  WORST airline. https://t.co/XG55xbpSjq,0
97,explain blatant racismdiscrimination,-1,227,11/14/2020 20:14,1.33e+18,American,@AmericanAir EXPLAIN THIS BLATANT RACISM/DISCRIMINATION https://t.co/rhZ83pQCRS,0
98,worst airline swear amount unprofessionalism yall provide beyond booking shit else yall,-1,234,11/14/2020 20:12,1.33e+18,American,@AmericanAir is THE worst airline swear. The amount of unprofessionalism y’all provide is beyond me. Not booking shit else with y’all,0
99,ejected flight allegedly prompting male passenger harassed,-1,236,11/14/2020 20:11,1.33e+18,American,"...after @AmericanAir ejected her from a flight allegedly at the prompting of a male passenger who harassed her. 
...",0
100,,-1,240,11/14/2020 20:09,1.33e+18,American,@CAIRNational @RashidaTlaib @CAIRNJ @AmericanAir @Rowaida_Abdel @AdelyReporter @northjersey @CAIRNewYork @NihadAwad… https://t.co/pBRrq3J0pa,0
101,trumps america,0,244,11/14/2020 20:08,1.33e+18,American,@hamdia_ahmed @CounterwaveRu2 @AmericanAir That is Trumps America,0
102,ignorance disgusting first place man,-1,255,11/14/2020 20:04,1.33e+18,American,"@Auldmanthyme @torstrick @BrokermanDaniel @AmericanAir Your ignorance is disgusting. In the first place, a “man of… https://t.co/JM5f4leLIk",0
103,literally removed everyone flight unjustly endanger amp put police,-1,261,11/14/2020 20:00,1.33e+18,American,.@AmericanAir you literally removed everyone from the flight to UNJUSTLY endanger @AMANI2020 &amp; put her in police cu… https://t.co/zZMrR5Yo1d,0
104,clicked link says way japan job,0,263,11/14/2020 19:59,1.33e+18,American,@AmericanAir So I clicked on the link and it says the only way you can go to Japan is if you have a job there and a… https://t.co/8NqKO8GbAE,0
105,youre welcome hopefully provide better service future travels,1,264,11/14/2020 19:58,1.33e+18,American,@AmericanAir You’re very welcome. Hopefully @United or @Delta provide me better service with future travels.,0
106,apparently even evidence still wont believe,-1,267,11/14/2020 19:57,1.33e+18,American,"@KWA39481471 @Tazmarac @JoJo_Quinoa @_SJPeace_ @AmericanAir Apparently even with evidence, they still won't believe… https://t.co/wvh7AReJ9h",0
107,one friends witnessed harassment employees imposed passenger,-1,268,11/14/2020 19:56,1.33e+18,American,One of my friends just witnessed the harassment your employees imposed on this passenger @AmericanAir. They have he… https://t.co/kCODh7rnQZ,0
108,,-1,271,11/14/2020 19:55,1.33e+18,American,@luvmemuch @Press_Comm @CAIRNational @lsarsour @CAIRNJ @AmericanAir @Rowaida_Abdel @AdelyReporter @northjersey… https://t.co/HJ3z8DiYeC,0
109,take accountability fix issue start returning belongings release,-1,272,11/14/2020 19:55,1.33e+18,American,@AmericanAir @AMANI2020 Take accountability and fix this issue. Start by returning her belongings and release her.… https://t.co/GWBPAtF1Y2,0
110,better get handle quickly might consider banning first class passenger swat,-1,274,11/14/2020 19:55,1.33e+18,American,You better get a handle on this quickly @AmericanAir. You might consider banning the first class passenger for SWAT… https://t.co/71uMQJ6sjK,0
111,disgusting boycott american airlines,-1,276,11/14/2020 19:53,1.33e+18,American,@torstrick @_SJPeace_ @AmericanAir Disgusting. Boycott American Airlines!,0
112,queen removed arrested today praying safety,-1,277,11/14/2020 19:52,1.33e+18,American,This is the QUEEN ⁦@AmericanAir⁩ had removed and arrested today. Praying for her safety. ⁦@AMANI2020⁩  https://t.co/7yppLRxeto,0
113,could look also cancelling,-1,280,11/14/2020 19:51,1.33e+18,American,"@torstrick @_SJPeace_ @AmericanAir @CAIRNational if you could look into this.
Also, @AmericanAir I’m cancelling my… https://t.co/qnc0AiOgw3",0
114,dont even care guys used shady tactics get upgrade wouldnt let see,-1,283,11/14/2020 19:51,1.33e+18,American,@AmericanAir I don't even care!  You guys used shady tactics to get me to upgrade and wouldn't let me see the 1st c… https://t.co/RhBIDTRZKQ,0
115,fuck,-1,284,11/14/2020 19:50,1.33e+18,American,@hamdia_ahmed @AmericanAir What the fuck,0
116,even cut front muslim woman throw tantrum vip status paying,-1,287,11/14/2020 19:49,1.33e+18,American,"@AmericanAir ""You can even cut in front of a Muslim woman, throw a tantrum about your vip status and paying for 1st… https://t.co/YbIQwYhMJX",0
117,,-1,288,11/14/2020 19:48,1.33e+18,American,@Kingfreak491 @Press_Comm @CAIRNational @lsarsour @CAIRNJ @AmericanAir @Rowaida_Abdel @AdelyReporter @northjersey… https://t.co/uO3aOU7CSe,0
118,must immediately explain singled amani contacting police ejecting fli,-1,298,11/14/2020 19:45,1.33e+18,American,@AmericanAir must immediately explain why it singled out Amani by contacting the police and ejecting her from a fli… https://t.co/zOqZlNvTkq,0
119,shame,-1,299,11/14/2020 19:45,1.33e+18,American,@AmericanAir Shame on you,0
120,cant travel peacefully youre muslim american airlines hates colored people,-1,301,11/14/2020 19:44,1.33e+18,American,@AmericanAir But you can’t travel peacefully if you’re a Muslim because American Airlines hates colored people!,0
121,wouldnt confronted man creed wouldve got,-1,302,11/14/2020 19:43,1.33e+18,American,@torstrick @BrokermanDaniel @AmericanAir she wouldnt have confronted a man of her own creed... she wouldve got a sl… https://t.co/pnKuEBP6Fa,0
122,poor way conduct business also expose discriminatory,0,303,11/14/2020 19:43,1.33e+18,American,What a poor way to conduct business and also expose yourselves as discriminatory @AmericanAir https://t.co/PSk523q7Bi,0
123,happened,-1,304,11/14/2020 19:42,1.33e+18,American,@AmericanAir what has happened to @AMANI2020,0
124,maybe explain incident woman coach male first class passenger,-1,305,11/14/2020 19:41,1.33e+18,American,@AmericanAir Maybe explain the incident with the woman in coach and the male first class passenger,0
125,fly american airline upgraded class online informed would split,-1,306,11/14/2020 19:41,1.33e+18,American,"@AmericanAir DO NOT FLY WITH AMERICAN AIRLINE, UPGRADED TO 1ST CLASS ONLINE JUST TO BE INFORMED WE WOULD BE SPLIT U… https://t.co/ramAH6Y1Th",0
126,see reading comprehension isnt strong suit allow help wasnt matter doo,-1,307,11/14/2020 19:41,1.33e+18,American,"@AmericanAir I see reading comprehension isn’t your strong suit, so allow me to help. It wasn’t a matter of the doo… https://t.co/Hm44EvsHcR",0
127,fly american airline upgraded class online informed would split,-1,309,11/14/2020 19:41,1.33e+18,American,"@AmericanAir DO NOT FLY WITH AMERICAN AIRLINE, UPGRADED TO 1ST CLASS ONLINE JUST TO BE INFORMED WE WOULD BE SPLIT U… https://t.co/NC6cuW8l0R",0
128,fly american airline upgraded class online informed would split,-1,311,11/14/2020 19:40,1.33e+18,American,"@AmericanAir DO NOT FLY WITH AMERICAN AIRLINE, UPGRADED TO 1ST CLASS ONLINE JUST TO BE INFORMED WE WOULD BE SPLIT U… https://t.co/DMlqAQnA83",0
129,fly american airline upgraded class online informed would split,-1,312,11/14/2020 19:40,1.33e+18,American,"@AmericanAir DO NOT FLY WITH AMERICAN AIRLINE, UPGRADED TO 1ST CLASS ONLINE JUST TO BE INFORMED WE WOULD BE SPLIT U… https://t.co/4oaM8uA3pj",0
130,sad makes zero sense guys need fix quickly makes par,-1,313,11/14/2020 19:40,1.33e+18,American,"@AlaskaAir Ah, so sad ... and makes zero sense. You guys need to fix this quickly. This makes the @AmericanAir “par… https://t.co/EDr9gNaik7",0
131,fly american airline upgraded class online informed would split,-1,314,11/14/2020 19:40,1.33e+18,American,"@AmericanAir DO NOT FLY WITH AMERICAN AIRLINE, UPGRADED TO 1ST CLASS ONLINE JUST TO BE INFORMED WE WOULD BE SPLIT U… https://t.co/I5jGuQAI5l",0
132,done,-1,316,11/14/2020 19:40,1.33e+18,American,@AmericanAir your done https://t.co/Vzo9x58tG3 https://t.co/El3JLGxWtj,0
133,fly american airline upgraded class online informed would split,-1,317,11/14/2020 19:40,1.33e+18,American,"@AmericanAir DO NOT FLY WITH AMERICAN AIRLINE, UPGRADED TO 1ST CLASS ONLINE JUST TO BE INFORMED WE WOULD BE SPLIT U… https://t.co/SOP3jTvdnz",0
134,ass canceled,-1,318,11/14/2020 19:39,1.33e+18,American,@AmericanAir you Ass is canceled https://t.co/5WQQzUTavN https://t.co/ehbpjBWkFA,0
135,money talks aswell racsim,-1,319,11/14/2020 19:39,1.33e+18,American,@JoJo_Quinoa @JustMeBeingMe4 @AmericanAir Money talks aswell as racsim.,0
136,flew years elderly parents one good routes amp long journe,1,321,11/14/2020 19:39,1.33e+18,American,@_SJPeace_ I flew @AmericanAir for over 30 years bc I had elderly parents on one of their good routes &amp; long journe… https://t.co/lE68utXK7L,0
137,maybe stop people ejecting people look like muslims planes,-1,322,11/14/2020 19:39,1.33e+18,American,@AmericanAir Maybe you can stop people from ejecting people who look like Muslims from your planes.,0
138,team taking sweet time making generic ass statement,1,331,11/14/2020 19:37,1.33e+18,American,@AmericanAir PR team is taking their sweet time making a generic ass statement.,0
139,emailed tell lose miles dont use end year gall,-1,338,11/14/2020 19:34,1.33e+18,American,@napavore @AmericanAir emailed to tell me I'd lose my miles if I don't use them by the end of the year. The GALL.,0
140,must nice take money people respect needs,-1,341,11/14/2020 19:33,1.33e+18,American,@AmericanAir must be nice to take money from people with no respect for their needs.,0
141,one fly bait switch direct flight charge extra adjust travel pla,-1,342,11/14/2020 19:33,1.33e+18,American,No one fly @AmericanAir ! They will bait and switch your direct flight and charge u extra to adjust your travel pla… https://t.co/4NHglsXDgt,0
142,never going fly also going encourage coworkers continue giving busin,-1,348,11/14/2020 19:32,1.33e+18,American,@_SJPeace_ Never going to fly @AmericanAir. Also going to encourage my coworkers to not continue giving their busin… https://t.co/H9hbSZXGHp,0
143,lets take elsewhere,-1,353,11/14/2020 19:30,1.33e+18,American,@torstrick @_SJPeace_ @AmericanAir So let’s go to @JetBlue. WE can take our $$ elsewhere.,0
144,continues show airline unapologetically supp,-1,354,11/14/2020 19:30,1.33e+18,American,@Jersey_Hair @_SJPeace_ @AmericanAir @Delta @AmericanAir continues to show that their airline unapologetically supp… https://t.co/bfXKnq3tqc,0
145,get gargantuan bailout backs left starve fear lose homes,-1,356,11/14/2020 19:29,1.33e+18,American,"@AmericanAir so you get a gargantuan bailout on our backs as we are left to starve, fear, lose our homes.... and th… https://t.co/uUVpYZamy3",0
146,sure wish employees knew,1,358,11/14/2020 19:29,1.33e+18,American,@AmericanAir Sure wish ALL of your employees knew that.,0
147,hello friends traveling home alaska international trip bringing thru miami unfortuna,0,360,11/14/2020 19:29,1.33e+18,American,.@alaskaair: Hello friends! Traveling home to #Alaska from an international trip bringing us thru #Miami. Unfortuna… https://t.co/J60HRYRf8N,0
148,hey stay classy morons,1,363,11/14/2020 19:28,1.33e+18,American,"Hey @AmericanAir .

You stay classy.

Morons. https://t.co/KYVeTstJxy",0
